mapname,African-American,White,Hispanic/Latino,Asian,Other,avMdinc,perBach
Academy Gardens,0.073142997,0.806797079,0.066873416,0.040037377,0.013148723,54835.3,18.5926
Airport,0,1,0,0,0,29819.6,14.9457
Allegheny West,0.873742723,0.065063862,0.035459626,0.01186687,0.013866765,28111.1,13.2756
Andorra,0.090611303,0.810422989,0.048823458,0.027907782,0.02223315,77427.8,50.7368
Aston-Woodbridge,0.215962057,0.677167953,0.065931093,0.011990176,0.028948319,42748.9,17.0184
Bartram Village,0.87606818,0.066053624,0.019681945,0.025021259,0.013174504,23429.5,11.926
Bella Vista,0.092381569,0.689480899,0.107280797,0.085035396,0.025820897,68024.8,62.4885
Belmont,0.881616502,0.043991553,0.044406055,0.008326558,0.02165852,18703.2,11.7496
Brewerytown,0.740026205,0.178899364,0.054141612,0.014653141,0.01227942,28492.4,16.7039
Bridesburg,0.009483875,0.933829595,0.03330647,0.010903128,0.012476784,39871.3,14.1597
Burholme,0.21950937,0.586559056,0.093147603,0.060457812,0.040325542,45354.3,20.1204
Bustleton,0.047822665,0.731951542,0.058109907,0.132809353,0.029306467,55001,27.9281
Byberry,0.190593149,0.69976227,0.054798281,0.034254749,0.020590118,94788.6,20.5392
Callowhill,0.263424848,0.361859974,0.088503688,0.265446374,0.020763839,52639.2,46.2381
Carroll Park,0.95615303,0.010898945,0.022200914,0.001008656,0.009738333,25061.4,9.605
Cedar Park,0.53603203,0.356750955,0.02886099,0.04713234,0.03122344,36875.3,39.7327
Cedarbrook,0.956906145,0.025760509,0.007842373,0.002532878,0.006957912,48794,25.1637
Center City East,0.140611214,0.469875125,0.086686613,0.288782518,0.014043201,53938.8,54.6534
Chestnut Hill,0.15029949,0.75673875,0.040294092,0.029094446,0.023573115,96733.2,70.2568
Chinatown,0.165776808,0.354586238,0.093234872,0.369457828,0.016941661,52817.2,49.3388
Clearview,0.767213959,0.120912059,0.010971498,0.095339382,0.005562827,41452.6,15.8831
Cobbs Creek,0.942922527,0.019601233,0.015917606,0.005033656,0.016524918,28956.8,12.5612
Crescentville,0.514686292,0.163137864,0.241576499,0.051850686,0.028748424,33203.3,12.5548
Crestmont Farms,0.011638903,0.88808831,0.070178948,0.02313232,0.006954245,57663.6,16.489
Dearnley Park,0.079867874,0.84199592,0.025544225,0.02557335,0.027018024,69608.8,48.5107
Dickinson Narrows,0.124397158,0.467337284,0.143063645,0.24863532,0.016566259,43287.4,29.9152
Dunlap,0.92903,0.035411627,0.025342198,0.005177725,0.005037383,25304.4,13.9118
East Falls,0.262836166,0.620289606,0.03921388,0.053909708,0.023750454,43846.7,46.492
East Germantown,0.896765668,0.058063117,0.021984805,0.004226023,0.018960305,31173.6,13.3423
East Kensington,0.082542759,0.450637654,0.333196642,0.113824278,0.019798288,25861.5,18.4296
East Mount Airy,0.766390722,0.165654042,0.022262077,0.004900727,0.040792383,52328,34.8587
East Oak Lane,0.764532875,0.089340916,0.041202815,0.074417401,0.030505679,43978,21.6293
East Park,0.48147993,0.405276136,0.028500872,0.051781735,0.032960913,35272.3,27.4342
East Parkside,0.891335781,0.052500676,0.042674969,0.001972313,0.01151562,21307.5,17.2526
East Passyunk,0.074107651,0.557858509,0.109857143,0.231948068,0.026228407,38076.2,26.403
East Poplar,0.557138233,0.24060997,0.092804343,0.063928668,0.045518179,35473.6,28.0602
Eastwick,0.757285457,0.125034163,0.0171922,0.082371474,0.018116122,42344,23.3474
Elmwood,0.745234453,0.112650919,0.038768998,0.087276884,0.016068603,29565.2,10.5196
Fairhill,0.173521729,0.026366352,0.788867659,0.003664446,0.007579511,15602.4,3.9756
Fairmount,0.277323891,0.633394078,0.034843142,0.038453557,0.015985026,66354.5,56.1899
Feltonville,0.260122413,0.08398571,0.576438831,0.070716011,0.008736973,27064.8,6.7801
Fern Rock,0.829477469,0.045928076,0.0446992,0.053078993,0.026815707,32682.3,14.8218
Fishtown - Lower Kensington,0.028992954,0.818352646,0.097431864,0.03788197,0.017340367,44687.6,33.4862
Fitler Square,0.119088559,0.726879877,0.034594319,0.081087917,0.038347587,85601,79.0842
Fox Chase,0.0882919,0.751794763,0.074976718,0.048563116,0.036373355,51684.8,22.6099
Francisville,0.482530309,0.408842971,0.066589349,0.028122318,0.013914562,42843.7,41.9679
